Entity,cca3,Year,population
World,OWID_WRL,1990,5.327529078E9
World,OWID_WRL,1991,5.414289382E9
World,OWID_WRL,1992,5.498919891E9
World,OWID_WRL,1993,5.581597596E9
World,OWID_WRL,1994,5.663150426E9
World,OWID_WRL,1995,5.744212929E9
World,OWID_WRL,1996,5.824891927E9
World,OWID_WRL,1997,5.905045647E9
World,OWID_WRL,1998,5.984794072E9
World,OWID_WRL,1999,6.06423903E9
World,OWID_WRL,2000,6.143776621E9
World,OWID_WRL,2001,6.222912459E9
World,OWID_WRL,2002,6.30206221E9
World,OWID_WRL,2003,6.381477292E9
World,OWID_WRL,2004,6.461454653E9
World,OWID_WRL,2005,6.54220533E9
World,OWID_WRL,2006,6.623819401E9
World,OWID_WRL,2007,6.706251239E9
World,OWID_WRL,2008,6.78939638E9
World,OWID_WRL,2009,6.873077808E9
World,OWID_WRL,2010,6.957137521E9
World,OWID_WRL,2011,7.041509491E9
World,OWID_WRL,2012,7.126144677E9
World,OWID_WRL,2013,7.210900157E9
World,OWID_WRL,2014,7.295610265E9
World,OWID_WRL,2015,7.38011787E9
World,OWID_WRL,2016,7.464344232E9
World,OWID_WRL,2017,7.548182589E9
World,OWID_WRL,2018,7.63109111E9
World,OWID_WRL,2019,7.713468203E9
World,OWID_WRL,2020,7.794798725E9
World,OWID_WRL,2021,7.87496573E9
World,OWID_WRL,2022,7.953952572E9
