Entity,cca3,Year,population
United States,USA,1990,2.52120309E8
United States,USA,1991,2.54539371E8
United States,USA,1992,2.56990608E8
United States,USA,1993,2.5953213E8
United States,USA,1994,2.62241204E8
United States,USA,1995,2.6516374E8
United States,USA,1996,2.68335007E8
United States,USA,1997,2.71713634E8
United States,USA,1998,2.75175309E8
United States,USA,1999,2.78548148E8
United States,USA,2000,2.81710914E8
United States,USA,2001,2.84607992E8
United States,USA,2002,2.87279312E8
United States,USA,2003,2.89815567E8
United States,USA,2004,2.92354663E8
United States,USA,2005,2.94993509E8
United States,USA,2006,2.97758977E8
United States,USA,2007,3.00608425E8
United States,USA,2008,3.03486022E8
United States,USA,2009,3.06307565E8
United States,USA,2010,3.09011469E8
United States,USA,2011,3.11584051E8
United States,USA,2012,3.14043885E8
United States,USA,2013,3.16400539E8
United States,USA,2014,3.18673422E8
United States,USA,2015,3.20878312E8
United States,USA,2016,3.23015992E8
United States,USA,2017,3.25084758E8
United States,USA,2018,3.27096263E8
United States,USA,2019,3.29064917E8
United States,USA,2020,3.31002647E8
United States,USA,2021,3.32915074E8
United States,USA,2022,3.34805268E8
