Entity,cca3,Year,population
United Kingdom,GBR,1990,5.7134377E7
United Kingdom,GBR,1991,5.7290792E7
United Kingdom,GBR,1992,5.7446041E7
United Kingdom,GBR,1993,5.7602279E7
United Kingdom,GBR,1994,5.7763382E7
United Kingdom,GBR,1995,5.793245E7
United Kingdom,GBR,1996,5.8113554E7
United Kingdom,GBR,1997,5.830732E7
United Kingdom,GBR,1998,5.8509972E7
United Kingdom,GBR,1999,5.8715859E7
United Kingdom,GBR,2000,5.8923305E7
United Kingdom,GBR,2001,5.9124277E7
United Kingdom,GBR,2002,5.9326294E7
United Kingdom,GBR,2003,5.9561429E7
United Kingdom,GBR,2004,5.987276E7
United Kingdom,GBR,2005,6.0287953E7
United Kingdom,GBR,2006,6.0821349E7
United Kingdom,GBR,2007,6.1455154E7
United Kingdom,GBR,2008,6.2145098E7
United Kingdom,GBR,2009,6.282862E7
United Kingdom,GBR,2010,6.3459801E7
United Kingdom,GBR,2011,6.4021922E7
United Kingdom,GBR,2012,6.45253E7
United Kingdom,GBR,2013,6.4984015E7
United Kingdom,GBR,2014,6.5423048E7
United Kingdom,GBR,2015,6.5860149E7
United Kingdom,GBR,2016,6.6297944E7
United Kingdom,GBR,2017,6.6727463E7
United Kingdom,GBR,2018,6.7141678E7
United Kingdom,GBR,2019,6.7530161E7
United Kingdom,GBR,2020,6.7886004E7
United Kingdom,GBR,2021,6.8207114E7
United Kingdom,GBR,2022,6.8497913E7
